"school","city","state","region","conference","division"
"Virginia Wesleyan University","Norfolk","Virginia","Mid East","Old Dominion Athletic Conference","NCAA D3"
"Viterbo University","La Crosse","Wisconsin","Great Lakes","North Star Athletic Association","NAIA"
"Volunteer State Community College","Gallatin","Tennessee","Mid East","Tennessee Community College Athletic Association ","JC"
"Voorhees College","Denmark","South Carolina","South East","Continental Athletic Conference","NAIA"
"Wabash College","Crawfordsville","Indiana","Great Lakes","North Coast Athletic Conference","NCAA D3"
"Wabash Valley College","Mount Carmel","Illinois","Great Lakes","Great Rivers Athletic Conference","JC"
"Wagner College","Staten Island","New York","North East","Northeast Conference","NCAA D1"
"Wake Forest University","Winston-Salem","North Carolina","Mid East","Atlantic Coast Conference","NCAA D1"
"Wake Technical Community College","Raleigh","North Carolina","Mid East","NJCAA Region 10","JC"
"Waldorf University","Forest City","Iowa","Mid West","North Star Athletic Association","NAIA"
"Walla Walla Community College","Walla Walla","Washington","West Coast","Northwest Athletic Conference","JC"
"Wallace State Community College – Hanceville","Hanceville","Alabama","South East","Alabama Community College Conference","JC"
"Walsh University","North Canton","Ohio","Great Lakes","Great Midwest Athletic Conference","NCAA D2"
"Walters State Community College","Morristown","Tennessee","Mid East","Tennessee Community College Athletic Association ","JC"
"Warner Pacific University","Portland","Oregon","West Coast","Cascade Collegiate Conference","NAIA"
"Warner University","Lake Wales","Florida","South East","Sun Conference","NAIA"
"Warren Wilson College","Swannanoa","North Carolina","Mid East","Eastern Metro Athletic Conference","NCAA D3"
"Wartburg College","Waverly","Iowa","Mid West","Iowa Intercollegiate Athletic Conference","NCAA D3"
"Washburn University","Topeka","Kansas","Mid West","Mid-America Intercollegiate Athletics Association","NCAA D2"
"Washington & Jefferson College","Washington","Pennsylvania","North East","Presidents' Athletic Conference","NCAA D3"
"Washington & Lee University","Lexington","Virginia","Mid East","Old Dominion Athletic Conference","NCAA D3"
"Washington Adventist University","Takoma Park","Maryland","North East","Continental Athletic Conference","NAIA"
"Washington College","Chestertown","Maryland","North East","Centennial Conference","NCAA D3"
"Washington State University","Pullman","Washington","West Coast","Pacific-12 Conference","NCAA D1"
"Washington University in St. Louis","Saint Louis","Missouri","Mid West","University Athletic Association","NCAA D3"
"Waubonsee Community College","Sugar Grove","Illinois","Great Lakes","Skyway Conference","JC"
"Wayland Baptist University","Plainview","Texas","Mid South","Sooner Athletic Conference","NAIA"
"Wayne County Community College","Detroit","Michigan","Great Lakes","Michigan Community College Athletic Association","JC"
"Wayne State College","Wayne","Nebraska","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"Wayne State University","Detroit","Michigan","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Waynesburg University","Waynesburg","Pennsylvania","North East","Presidents' Athletic Conference","NCAA D3"
"Weatherford College","Weatherford","Texas","Mid South","NJCAA Region 5","JC"
"Webber International University","Babson Park","Florida","South East","Sun Conference","NAIA"
"Weber State University","Ogden","Utah","South West","Big Sky Conference","NCAA D1"
"Webster University","Saint Louis","Missouri","Mid West","St. Louis Intercollegiate Athletic Conference","NCAA D3"
"Wells College","Aurora","New York","North East","North Eastern Athletic Conference","NCAA D3"
"Wenatchee Valley College","Wenatchee","Washington","West Coast","Northwest Athletic Conference","JC"
"Wentworth Institute of Technology","Boston","Massachusetts","New England","Commonwealth Coast Conference","NCAA D3"
"Wesleyan University","Middletown","Connecticut","New England","New England Small College Athletic Conference","NCAA D3"
"West Chester University of Pennsylvania","West Chester","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"West Hills College – Coalinga","Coalinga","California","West Coast","Central Valley Conference","JC"
"West Liberty University","West Liberty","West Virginia","Mid East","Mountain East Conference","NCAA D2"
"West Texas A&M University","Canyon","Texas","Mid South","Lone Star Conference","NCAA D2"
"West Virginia State University","Institute","West Virginia","Mid East","Mountain East Conference","NCAA D2"
"West Virginia University","Morgantown","West Virginia","Mid East","Big 12 Conference","NCAA D1"
"West Virginia University Institute of Technology","Beckley","West Virginia","Mid East","River States Conference","NAIA"
"West Virginia University Potomac State College","Keyser","West Virginia","Mid East","NJCAA Region 20","JC"
"West Virginia Wesleyan College","Buckhannon","West Virginia","Mid East","Mountain East Conference","NCAA D2"
"Westcliff University","Irvine","California","West Coast","California Pacific Conference","NAIA"
"Western Carolina University","Cullowhee","North Carolina","Mid East","Southern Conference","NCAA D1"
"Western Colorado University","Gunnison","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Western Connecticut State University","Danbury","Connecticut","New England","Little East","NCAA D3"
"Western Illinois University","Macomb","Illinois","Great Lakes","The Summit League ","NCAA D1"
"Western Kentucky University","Bowling Green","Kentucky","Mid East","Conference USA","NCAA D1"
"Western Michigan University","Kalamazoo","Michigan","Great Lakes","Mid-American Conference","NCAA D1"
"Western Nebraska Community College","Scottsbluff","Nebraska","Mid West","NJCAA Region 9","JC"
"Western New England University","Springfield","Massachusetts","New England","Commonwealth Coast Football","NCAA D3"
"Western New Mexico University","Silver City","New Mexico","South West","Lone Star Conference","NCAA D2"
"Western Oklahoma State College","Altus","Oklahoma","Mid South","NJCAA Region 2","JC"
"Western Oregon University","Monmouth","Oregon","West Coast","Great Northwest Athletic Conference","NCAA D2"
"Western Technical College – Wisconsin","La Crosse","Wisconsin","Great Lakes","Minnesota College Athletic Conference","JC"
"Western Texas College","Snyder","Texas","Mid South","Western Junior College Athletic Conference ","JC"
"Western Washington University","Bellingham","Washington","West Coast","Great Northwest Athletic Conference","NCAA D2"
"Western Wyoming Community College","Rock Springs","Wyoming","North West","NJCAA Region 9","JC"
"Westfield State University","Westfield","Massachusetts","New England","Commonwealth Coast Football","NCAA D3"
"Westminster College – Missouri","Fulton","Missouri","Mid West","Upper Midwest Athletic Conference","NCAA D3"
"Westminster College – Pennsylvania","New Wilmington","Pennsylvania","North East","Presidents' Athletic Conference","NCAA D3"
"Westminster College – Utah","Salt Lake City","Utah","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Westmont College","Santa Barbara","California","West Coast","Golden State Athletic Conference","NAIA"
"Westmoreland County Community College","Youngwood","Pennsylvania","North East","NJCAA Region 20","JC"
"Whatcom Community College","Bellingham","Washington","West Coast","Northwest Athletic Conference","JC"
"Wheaton College – Illinois","Wheaton","Illinois","Great Lakes","College Conference of Illinois and Wisconsin","NCAA D3"
"Wheaton College – Massachusetts","Norton","Massachusetts","New England","New England Women's & Men's Athletic Conference","NCAA D3"
"Wheeling University","Wheeling","West Virginia","Mid East","Mountain East Conference","NCAA D2"
"Whitman College","Walla Walla","Washington","West Coast","Northwest Conference","NCAA D3"
"Whittier College","Whittier","California","West Coast","Southern California Intercollegiate Athletic Conference","NCAA D3"
"Whitworth University","Spokane","Washington","West Coast","Northwest Conference","NCAA D3"
"Wichita State University","Wichita","Kansas","Mid West","American Athletic Conference","NCAA D1"
"Widener University","Chester","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Wilberforce University","Wilberforce","Ohio","Great Lakes","Continental Athletic Conference","NAIA"
"Wiley College","Marshall","Texas","Mid South","Red River Athletic Conference","NAIA"
"Wilkes University","Wilkes-Barre","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Willamette University","Salem","Oregon","West Coast","Northwest Conference","NCAA D3"
"William & Mary","Williamsburg","Virginia","Mid East","Colonial Athletic Association","NCAA D1"
"William Carey University","Hattiesburg","Mississippi","Mid South","Southern States Athletic Conference","NAIA"
"William Jessup University","Rocklin","California","West Coast","Golden State Athletic Conference","NAIA"
"William Jewell College","Liberty","Missouri","Mid West","Great Lakes Valley Conference","NCAA D2"
"William Paterson University of New Jersey","Wayne","New Jersey","North East","New Jersey Athletic Conference","NCAA D3"
"William Peace University","Raleigh","North Carolina","Mid East","USA South Athletic Conference","NCAA D3"
"William Penn University","Oskaloosa","Iowa","Mid West","Heart of America Athletic Conference","NAIA"
"William Woods University","Fulton","Missouri","Mid West","American Midwest Conference","NAIA"
"Williams Baptist University","Walnut Ridge","Arkansas","Mid South","American Midwest Conference","NAIA"
"Williams College","Williamstown","Massachusetts","New England","New England Small College Athletic Conference","NCAA D3"
"Williamson College of the Trades","Media","Pennsylvania","North East","United States Collegiate Athletic Association","JC"
"Williston State College","Williston","North Dakota","North West","Mon-Dak Athletic Conference","JC"
"Wilmington College","Wilmington","Ohio","Great Lakes","Ohio Athletic Conference","NCAA D3"
"Wilmington University","New Castle","Delaware","North East","Central Atlantic Collegiate Conference","NCAA D2"
"Wilson College","Chambersburg","Pennsylvania","North East","Colonial States Athletic Conference","NCAA D3"
"Wingate University","Wingate","North Carolina","Mid East","South Atlantic Conference","NCAA D2"
"Winona State University","Winona","Minnesota","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"Winston-Salem State University","Winston-Salem","North Carolina","Mid East","Central Intercollegiate Athletic Association","NCAA D2"
"Winthrop University","Rock Hill","South Carolina","South East","Big South Conference","NCAA D1"
"Wittenberg University","Springfield","Ohio","Great Lakes","North Coast Athletic Conference","NCAA D3"
"Wofford College","Spartanburg","South Carolina","South East","Southern Conference","NCAA D1"
"Worcester Polytechnic Institute","Worcester","Massachusetts","New England","New England Women's & Men's Athletic Conference","NCAA D3"
"Worcester State University","Worcester","Massachusetts","New England","Commonwealth Coast Football","NCAA D3"
"Wright State University","Dayton","Ohio","Great Lakes","Horizon League","NCAA D1"
"Xavier University","Cincinnati","Ohio","Great Lakes","Big East Conference","NCAA D1"
"Xavier University of Louisiana","New Orleans","Louisiana","Mid South","Red River Athletic Conference","NAIA"
"Yakima Valley College","Yakima","Washington","West Coast","Northwest Athletic Conference","JC"
"Yale University","New Haven","Connecticut","New England","Ivy League","NCAA D1"
"Yeshiva University","New York","New York","North East","Skyline Conference","NCAA D3"
"York College","York","Nebraska","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"York College of Pennsylvania","York","Pennsylvania","North East","Capital Athletic Conference","NCAA D3"
"Young Harris College","Young Harris","Georgia","South East","Peach Belt Conference","NCAA D2"
"Youngstown State University","Youngstown","Ohio","Great Lakes","Horizon League","NCAA D1"
